HistoricalDate,Open,High,Low,Close,SharesTraded,TurnoverInCrores
03/01/2000,1482.15,1592.9,1482.15,1592.2,25358322,884.15
04/01/2000,1594.4,1641.95,1594.4,1638.7,38787872,1973.69
05/01/2000,1634.55,1635.5,1555.05,1595.8,62153431,3084.79
06/01/2000,1595.8,1639,1595.8,1617.6,51272875,2531.18
07/01/2000,1616.6,1628.25,1597.2,1613.3,54315945,1914.63
10/01/2000,1615.65,1662.1,1614.95,1632.95,45013949,2375.35
11/01/2000,1633.25,1639.9,1548.25,1572.5,49120254,2596.95
12/01/2000,1572.3,1631.55,1571.7,1624.8,38364961,1895
13/01/2000,1627.85,1671.15,1613.65,1621.4,44738447,2237.61
14/01/2000,1622.15,1627.4,1591.4,1622.75,43292009,1979.98
17/01/2000,1623.5,1668.45,1604.65,1611.6,42683260,2161.59
18/01/2000,1611.65,1615.15,1587.85,1606.7,37564199,1787.35
19/01/2000,1610.05,1644.45,1608.85,1634.85,42981295,2162.92
20/01/2000,1634.65,1644.4,1596.65,1601.1,42625471,2016.77
21/01/2000,1601.25,1626.5,1593.2,1620.6,39715905,2012.48
24/01/2000,1623.05,1645,1608.3,1613.6,34726595,1905.45
25/01/2000,1612.95,1613.65,1579.55,1586.4,36881758,1884.76
27/01/2000,1600.5,1633.55,1600.05,1603.9,38102878,1956.9
28/01/2000,1603.65,1610.9,1592.7,1599.1,46563431,2147.53
31/01/2000,1598.35,1598.35,1538.7,1546.2,36153239,1501.04
01/02/2000,1546.2,1554.15,1521.4,1549.5,37161352,1692.07
02/02/2000,1554.2,1605.9,1554.2,1588,39358471,1760.18
03/02/2000,1591.25,1616.7,1591.25,1597.9,40826374,1538.89
04/02/2000,1598.5,1621.35,1596.45,1599.75,30459542,1694.66
07/02/2000,1599.8,1645.9,1599.8,1636.6,34666978,2036.07
08/02/2000,1636.6,1676.1,1636.6,1662.75,40722843,1975.29
09/02/2000,1666.95,1731.65,1666.7,1689.65,41767017,2096
10/02/2000,1692.1,1713.7,1692.1,1711.2,30110126,1664.86
11/02/2000,1712.85,1771.65,1712.85,1756,33406798,1834.58
14/02/2000,1777.75,1795.45,1738.75,1744.5,31621011,1728.72
15/02/2000,1744.5,1744.5,1694.45,1702.55,39135619,2370.94
16/02/2000,1704.85,1742.8,1704.15,1711.1,31314383,1811.4
17/02/2000,1710.05,1753.1,1710.05,1742.1,28333952,1822.56
18/02/2000,1742.3,1764.15,1713.45,1717.8,24491796,1473.39
21/02/2000,1719.55,1767.8,1719.55,1753.5,26015488,1918.38
22/02/2000,1754.2,1781.05,1733.55,1739.05,33425078,2416.67
23/02/2000,1745.2,1818.15,1689.2,1696.4,27905642,2389.28
24/02/2000,1696.4,1751.6,1693.1,1732,23492408,1915.24
25/02/2000,1734.05,1757.05,1699.25,1710.45,19458640,1235.84
